epoch,step,test_loss,train_accuracy,train_f1_score,train_loss,val_loss
0,749,,,,,0.2716639041900635
0,749,,0.8802708387374878,0.8802708387374878,0.4497022032737732,
1,1499,,,,,0.21177098155021667
1,1499,,0.9354375004768372,0.9354375004768372,0.22765858471393585,
2,2249,,,,,0.17826877534389496
2,2249,,0.9503958225250244,0.9503958225250244,0.17466561496257782,
3,2999,,,,,0.15627780556678772
3,2999,,0.9597499966621399,0.9597499966621399,0.14090242981910706,
4,3749,,,,,0.14193381369113922
4,3749,,0.9663333296775818,0.9663333296775818,0.11779237538576126,
5,4499,,,,,0.1322942078113556
5,4499,,0.9716249704360962,0.9716249704360962,0.10098230838775635,
6,5249,,,,,0.12562425434589386
6,5249,,0.9750833511352539,0.9750833511352539,0.08812188357114792,
7,5999,,,,,0.12159227579832077
7,5999,,0.9783333539962769,0.9783333539962769,0.07777056843042374,
8,6749,,,,,0.11887634545564651
8,6749,,0.9808333516120911,0.9808333516120911,0.06911640614271164,
9,7499,,,,,0.11684348434209824
9,7499,,0.9828541874885559,0.9828541874885559,0.061845891177654266,
10,8249,,,,,0.11590822041034698
10,8249,,0.98458331823349,0.98458331823349,0.05552533641457558,
11,8999,,,,,0.1154075488448143
11,8999,,0.9865624904632568,0.9865624904632568,0.049740683287382126,
12,9749,,,,,0.11532403528690338
12,9749,,0.9883541464805603,0.9883541464805603,0.044794972985982895,
13,10499,,,,,0.11580808460712433
13,10499,,0.9898124933242798,0.9898124933242798,0.04007720574736595,
14,11249,,,,,0.11636421829462051
14,11249,,0.9912708401679993,0.9912708401679993,0.03594326600432396,
15,11999,,,,,0.11839804798364639
15,11999,,0.9922916889190674,0.9922916889190674,0.03215114027261734,
16,12000,,,,,0.04562868922948837
16,12000,0.09579776972532272,,,,
