epoch,step,train_loss,val_loss
0,49,1.086404800415039,
0,99,0.6666910648345947,
0,149,0.5767467617988586,
0,199,0.32016533613204956,
0,249,0.39848077297210693,
0,299,0.22379170358181,
0,349,0.2083839774131775,
0,399,0.3961296081542969,
0,449,0.6312758922576904,
0,499,0.3431400656700134,
0,549,0.47032541036605835,
0,599,0.17654433846473694,
0,649,0.3609223961830139,
0,699,0.3090303838253021,
0,749,0.34706002473831177,
0,781,,0.266789048910141
1,799,0.14744894206523895,
1,849,0.21080827713012695,
1,899,0.16639690101146698,
1,949,0.1922231763601303,
1,999,0.24846792221069336,
1,1049,0.37283918261528015,
1,1099,0.19335494935512543,
1,1149,0.17236173152923584,
1,1199,0.20614232122898102,
1,1249,0.37343159317970276,
1,1299,0.2620474696159363,
1,1349,0.1611933559179306,
1,1399,0.11193904280662537,
1,1449,0.23859159648418427,
1,1499,0.22447504103183746,
1,1549,0.1182556077837944,
1,1563,,0.19586344063282013
2,1599,0.08454259485006332,
2,1649,0.23094497621059418,
2,1699,0.1752447485923767,
2,1749,0.1383322924375534,
2,1799,0.19939593970775604,
2,1849,0.17841020226478577,
2,1899,0.1412637084722519,
2,1949,0.2951270341873169,
2,1999,0.10532306134700775,
2,2049,0.20222973823547363,
2,2099,0.13056960701942444,
2,2149,0.1223815456032753,
2,2199,0.19483639299869537,
2,2249,0.1718808114528656,
2,2299,0.22297963500022888,
2,2345,,0.15167489647865295
